epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1550.92,1.32773,0.8273,0.90322,0.87471,0.74529,0.81627,0.6116,1.3297,0.77628,0.91897,0.000219324,0.000219324,0.000219324
116,1564.07,1.33439,0.83239,0.9041,0.8562,0.75362,0.81669,0.61159,1.33621,0.77603,0.92021,0.00021609,0.00021609,0.00021609
117,1577.91,1.34348,0.8323,0.90642,0.8609,0.7311,0.80426,0.60662,1.33417,0.7825,0.92031,0.000212856,0.000212856,0.000212856
118,1590.72,1.34226,0.83154,0.90624,0.85702,0.75663,0.81998,0.61315,1.33472,0.78577,0.92174,0.000209622,0.000209622,0.000209622
119,1604.29,1.35195,0.85321,0.91101,0.84507,0.76265,0.81721,0.61185,1.33151,0.78151,0.91945,0.000206388,0.000206388,0.000206388
120,1616.58,1.33149,0.8275,0.90654,0.85173,0.75586,0.81312,0.60683,1.34369,0.78053,0.92161,0.000203154,0.000203154,0.000203154
121,1629.46,1.33922,0.82833,0.90558,0.8442,0.75613,0.816,0.61224,1.32595,0.78231,0.91876,0.00019992,0.00019992,0.00019992
122,1642.32,1.3135,0.80739,0.90118,0.86906,0.75445,0.82012,0.61569,1.31549,0.76499,0.91618,0.000196686,0.000196686,0.000196686
123,1655.63,1.31998,0.81115,0.90046,0.86706,0.75637,0.82295,0.61651,1.32318,0.76629,0.91724,0.000193452,0.000193452,0.000193452
124,1668.44,1.34227,0.81647,0.89716,0.88462,0.74126,0.8193,0.61551,1.32069,0.7647,0.91912,0.000190218,0.000190218,0.000190218
125,1681.73,1.30097,0.80363,0.89894,0.87327,0.7435,0.81623,0.61397,1.32367,0.77114,0.91887,0.000186984,0.000186984,0.000186984
126,1694.37,1.30682,0.8091,0.90486,0.84156,0.76572,0.82186,0.62195,1.31818,0.75971,0.91569,0.00018375,0.00018375,0.00018375
127,1706.7,1.31406,0.8063,0.90036,0.85534,0.75851,0.81925,0.61589,1.32026,0.76838,0.91609,0.000180516,0.000180516,0.000180516
128,1720.39,1.32345,0.80342,0.90077,0.86932,0.76602,0.82203,0.62207,1.30749,0.75951,0.91474,0.000177282,0.000177282,0.000177282
129,1733.04,1.32884,0.81072,0.90058,0.86447,0.76798,0.82141,0.60685,1.34364,0.76442,0.92194,0.000174048,0.000174048,0.000174048
130,1745.76,1.30307,0.79193,0.9012,0.86351,0.76788,0.82539,0.62596,1.30275,0.74938,0.91336,0.000170814,0.000170814,0.000170814
131,1759.08,1.30684,0.79973,0.89812,0.85175,0.77127,0.82599,0.62659,1.30236,0.75109,0.91339,0.00016758,0.00016758,0.00016758
132,1772.58,1.33298,0.81831,0.903,0.82745,0.76823,0.81847,0.61417,1.31922,0.76104,0.91781,0.000164346,0.000164346,0.000164346
133,1785.06,1.31225,0.80384,0.89846,0.84086,0.767,0.81839,0.61591,1.30944,0.75827,0.91473,0.000161112,0.000161112,0.000161112
134,1798.5,1.31353,0.7986,0.89957,0.87201,0.75747,0.82488,0.61907,1.30984,0.74928,0.91554,0.000157878,0.000157878,0.000157878
135,1811.54,1.3214,0.79515,0.89997,0.83628,0.75389,0.81341,0.60657,1.31393,0.75998,0.91673,0.000154644,0.000154644,0.000154644
136,1824.39,1.3111,0.78684,0.8973,0.85119,0.76001,0.82022,0.61716,1.3044,0.748,0.91309,0.00015141,0.00015141,0.00015141
137,1838.3,1.33042,0.81017,0.902,0.84237,0.77123,0.82354,0.62008,1.30776,0.747,0.91451,0.000148176,0.000148176,0.000148176
138,1851.52,1.30954,0.7948,0.89759,0.85337,0.77752,0.82941,0.62507,1.29923,0.74634,0.9128,0.000144942,0.000144942,0.000144942
139,1863.59,1.31225,0.80971,0.89855,0.86315,0.76583,0.82775,0.62546,1.29463,0.74004,0.91147,0.000141708,0.000141708,0.000141708
140,1876.98,1.28962,0.7875,0.90047,0.84674,0.76746,0.8274,0.63026,1.29422,0.74105,0.91239,0.000138474,0.000138474,0.000138474
141,1888.72,1.29171,0.79119,0.89521,0.85342,0.7701,0.82702,0.62807,1.29935,0.73988,0.91242,0.00013524,0.00013524,0.00013524
142,1902.72,1.28527,0.77681,0.89276,0.85892,0.76037,0.82343,0.62173,1.29358,0.7376,0.91137,0.000132006,0.000132006,0.000132006
143,1915.83,1.29944,0.78065,0.89804,0.86766,0.76771,0.82666,0.62963,1.28626,0.73684,0.91071,0.000128772,0.000128772,0.000128772
144,1928.68,1.29325,0.7787,0.89681,0.86288,0.76044,0.82862,0.63299,1.28142,0.73934,0.90838,0.000125538,0.000125538,0.000125538
145,1942.27,1.29579,0.79197,0.89373,0.86664,0.76607,0.82927,0.63459,1.28141,0.73336,0.90899,0.000122304,0.000122304,0.000122304
146,1955.24,1.2903,0.78903,0.89396,0.86298,0.77801,0.8341,0.63441,1.29519,0.73548,0.91075,0.00011907,0.00011907,0.00011907
147,1968.51,1.32899,0.8043,0.89919,0.84315,0.77454,0.82865,0.62827,1.30036,0.74119,0.91234,0.000115836,0.000115836,0.000115836
148,1981.76,1.3026,0.7905,0.89604,0.87834,0.77225,0.83286,0.63489,1.28248,0.7279,0.90807,0.000112602,0.000112602,0.000112602
149,1995.5,1.28355,0.78543,0.89539,0.8713,0.77616,0.83281,0.63356,1.28875,0.72878,0.90949,0.000109368,0.000109368,0.000109368
150,2008.44,1.2862,0.78276,0.8985,0.87522,0.77779,0.83134,0.62973,1.28649,0.728,0.90961,0.000106134,0.000106134,0.000106134
151,2021.89,1.31484,0.7933,0.89841,0.85634,0.78852,0.83659,0.63792,1.27812,0.72748,0.90718,0.0001029,0.0001029,0.0001029
152,2034.76,1.27475,0.76955,0.88918,0.86471,0.77812,0.83229,0.63588,1.28222,0.72735,0.90856,9.9666e-05,9.9666e-05,9.9666e-05
153,2047.65,1.25221,0.75485,0.89039,0.87639,0.77167,0.83124,0.6309,1.28216,0.72723,0.90738,9.6432e-05,9.6432e-05,9.6432e-05
154,2060.86,1.28537,0.77119,0.89266,0.8713,0.76682,0.8331,0.63488,1.27744,0.72394,0.90668,9.3198e-05,9.3198e-05,9.3198e-05
155,2074.15,1.29729,0.78817,0.89695,0.8684,0.76598,0.82783,0.62928,1.2907,0.72891,0.91092,8.9964e-05,8.9964e-05,8.9964e-05
156,2087.28,1.27518,0.77643,0.89277,0.86801,0.78016,0.83413,0.63221,1.28131,0.72225,0.90805,8.673e-05,8.673e-05,8.673e-05
157,2100.45,1.259,0.75434,0.89168,0.88167,0.77192,0.83875,0.63508,1.28377,0.72554,0.90945,8.3496e-05,8.3496e-05,8.3496e-05
158,2113.82,1.2488,0.75342,0.88844,0.85507,0.78633,0.83982,0.63608,1.2816,0.72361,0.90786,8.0262e-05,8.0262e-05,8.0262e-05
159,2126.8,1.26809,0.76214,0.88657,0.86289,0.78226,0.83349,0.63695,1.27159,0.71855,0.90683,7.7028e-05,7.7028e-05,7.7028e-05
160,2140.76,1.26746,0.76031,0.88828,0.88408,0.7797,0.83522,0.63607,1.2728,0.71633,0.90595,7.3794e-05,7.3794e-05,7.3794e-05
