epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4886.79,1.50384,1.04322,0.93818,0.7553,0.65376,0.70197,0.50574,1.44434,0.96304,0.94407,0.000320225,0.000320225,0.000320225
71,4915.16,1.50934,1.04543,0.93092,0.78198,0.63951,0.70991,0.51308,1.44204,0.95593,0.94018,0.000316344,0.000316344,0.000316344
72,4948.79,1.47036,1.01463,0.9336,0.77581,0.64251,0.71289,0.51365,1.45292,0.96366,0.94158,0.000312463,0.000312463,0.000312463
73,4989.75,1.47765,1.01716,0.93413,0.7846,0.6535,0.71958,0.51961,1.43664,0.96596,0.9423,0.000308582,0.000308582,0.000308582
74,5024.48,1.49568,1.0205,0.93447,0.81106,0.64681,0.72345,0.51912,1.45193,0.95204,0.94189,0.000304702,0.000304702,0.000304702
75,5108.72,1.4672,0.99202,0.92955,0.74564,0.66968,0.71891,0.51754,1.44894,0.93408,0.94169,0.000300821,0.000300821,0.000300821
76,5164.32,1.46041,1.00621,0.92579,0.78743,0.65858,0.71261,0.52061,1.43025,0.92884,0.94026,0.00029694,0.00029694,0.00029694
77,5211.99,1.48556,1.01394,0.93036,0.77395,0.66422,0.7267,0.52686,1.419,0.92875,0.93544,0.000293059,0.000293059,0.000293059
78,5248.43,1.48743,1.00092,0.94081,0.77016,0.66274,0.72376,0.52174,1.4406,0.93158,0.9403,0.000289178,0.000289178,0.000289178
79,5283.97,1.48438,1.00233,0.93331,0.7307,0.68342,0.7303,0.53167,1.41606,0.92536,0.93522,0.000285298,0.000285298,0.000285298
80,5400.56,1.4749,0.98789,0.92785,0.77511,0.65817,0.73034,0.53301,1.42498,0.91593,0.93286,0.000281417,0.000281417,0.000281417
81,5428.74,1.45565,0.97783,0.92733,0.79052,0.66296,0.72886,0.53721,1.41827,0.91141,0.93476,0.000277536,0.000277536,0.000277536
82,5492.91,1.46259,0.98708,0.92825,0.78477,0.67257,0.73097,0.52624,1.42605,0.91529,0.93539,0.000273655,0.000273655,0.000273655
83,5535.9,1.4515,0.97112,0.92697,0.8268,0.65087,0.72915,0.53384,1.41427,0.905,0.93366,0.000269774,0.000269774,0.000269774
84,5564.29,1.46196,0.98793,0.92415,0.82402,0.64813,0.73397,0.54102,1.39718,0.90577,0.93171,0.000265894,0.000265894,0.000265894
85,5601.6,1.46763,0.97162,0.92606,0.82037,0.67217,0.73957,0.53168,1.41591,0.9073,0.93166,0.000262013,0.000262013,0.000262013
86,5658.43,1.43884,0.9694,0.92895,0.81029,0.6731,0.74072,0.53497,1.42666,0.9168,0.93658,0.000258132,0.000258132,0.000258132
87,5686.64,1.44392,0.95707,0.92042,0.79371,0.68196,0.74678,0.54148,1.40783,0.90768,0.93178,0.000254251,0.000254251,0.000254251
88,5736.9,1.45357,0.97662,0.92047,0.77549,0.68411,0.74175,0.54472,1.40217,0.89526,0.93322,0.00025037,0.00025037,0.00025037
89,5768.64,1.43579,0.95432,0.92529,0.79494,0.68694,0.74737,0.54432,1.41232,0.89608,0.93361,0.00024649,0.00024649,0.00024649
90,5827.13,1.4647,0.9683,0.92744,0.79379,0.67827,0.7427,0.5434,1.40704,0.89313,0.93098,0.000242609,0.000242609,0.000242609
91,5900.86,1.4601,0.96916,0.92075,0.82625,0.66847,0.74268,0.55068,1.39273,0.87705,0.92851,0.000238728,0.000238728,0.000238728
92,5946.66,1.43963,0.95753,0.92226,0.84236,0.67378,0.74524,0.53312,1.42421,0.90015,0.93434,0.000234847,0.000234847,0.000234847
93,6017.64,1.42488,0.94197,0.92007,0.82631,0.68265,0.75844,0.55244,1.40158,0.87729,0.92951,0.000230966,0.000230966,0.000230966
94,6072.71,1.41659,0.93185,0.91956,0.79323,0.69853,0.75423,0.54764,1.4008,0.87526,0.92992,0.000227086,0.000227086,0.000227086
